;;;TKY 12 / Servin Maijan tie 8-12;;;;;;;;;;;;;;;
Street address;;;Servin Maijan tie 10;;;;;;;;;;;;;;;
Postal code;;;02150;;;;;;;;;;;;;;;
City;;;Espoo;;;;;;;;;;;;;;;
Facility type;;;Residential buildings for communities;;;;;;;;;;;;;;;
Area;;; ;;;;;;;;;;;;;;;
Construction year;;;1969;;;;;;;;;;;;;;;
Renovation year;;;2003;;;;;;;;;;;;;;;
Electricity Tax Class;;;Electricity tax class 1;;;;;;;;;;;;;;;
Ownership;;;;;;;;;;;;;;;;;;
Locale;;;Europe/Helsinki;;;;;;;;;;;;;;;
Enegia Id;;;;;;;;;;;;;;;;;;
Company identifier;;;;;;;;;;;;;;;;;;
Share of temperature fixing;;;85;;;;;;;;;;;;;;;
Number of persons;;;200;;;;;;;;;;;;;;;
Heating method;;;District heating;;;;;;;;;;;;;;;
Electricity company;;;;;;;;;;;;;;;;;;
Electricty usage place number;;;;;;;;;;;;;;;;;;
Number of main meters;;;;;;;;;;;;;;;;;;
;Electricity automatic;;1;;;;;;;;;;;;;;;
;District heating automatic;;1;;;;;;;;;;;;;;;
;Water automatic;;1;;;;;;;;;;;;;;;
Number of sub-meters;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Day 17, 01:00;95;0;98;0;3,2;3;0,48;0;0,41;0;-14,6;0;0,12;0;0,05;0;-58,3;0
Day 17, 02:00;82;0;91;0;11,0;9;0,47;0;0,42;0;-10,6;0;0,04;0;0,05;0;25,0;0
Day 17, 03:00;78;0;86;0;10,3;8;0,47;0;0,39;0;-17,0;0;0,03;0;0,01;0;-66,7;0
Day 17, 04:00;75;0;88;0;17,3;13;0,47;0;0,44;0;-6,4;0;0,02;0;0,02;0;0,0;0
Day 17, 05:00;76;0;88;0;15,8;12;0,47;0;0,43;0;-8,5;0;0,02;0;0,00;0;0;0
Day 17, 06:00;81;0;91;0;12,3;10;0,51;0;0,44;0;-13,7;0;0,06;0;0,05;0;-16,7;0
Day 17, 07:00;98;0;103;0;5,1;5;0,55;0;0,46;0;-16,4;0;0,21;0;0,22;0;4,8;0
Day 17, 08:00;98;0;117;0;19,4;19;0,59;0;0,51;0;-13,6;0;0,25;0;0,37;0;48,0;0
Day 17, 09:00;107;0;117;0;9,3;10;0,65;0;0,53;0;-18,5;0;0,43;0;0,46;0;7,0;0
Day 17, 10:00;97;0;103;0;6,2;6;0,59;0;0,45;0;-23,7;0;0,34;0;0,27;0;-20,6;0
Day 17, 11:00;113;0;120;0;6,2;7;0,55;0;0,52;0;-5,5;0;0,24;0;0,33;0;37,5;0
Day 17, 12:00;117;0;120;0;2,6;3;0,57;0;0,50;0;-12,3;0;0,27;0;0,25;0;-7,4;0
Day 17, 13:00;107;0;118;0;10,3;11;0,54;0;0,46;0;-14,8;0;0,21;0;0,12;0;-42,9;0
Day 17, 14:00;122;0;113;0;-7,4;-9;0,56;0;0,47;0;-16,1;0;0,17;0;0,19;0;11,8;0
Day 17, 15:00;126;0;136;0;7,9;10;0,55;0;0,47;0;-14,5;0;0,16;0;0,19;0;18,8;0
Day 17, 16:00;141;0;164;0;16,3;23;0,53;0;0,51;0;-3,8;0;0,17;0;0,13;0;-23,5;0
Day 17, 17:00;164;0;178;0;8,5;14;0,52;0;0,52;0;0,0;0;0,18;0;0,18;0;0,0;0
Day 17, 18:00;211;0;211;0;0,0;0;0,51;0;0,54;0;5,9;0;0,22;0;0,22;0;0,0;0
Day 17, 19:00;213;0;216;0;1,4;3;0,50;0;0,55;0;10,0;0;0,25;0;0,24;0;-4,0;0
Day 17, 20:00;203;0;219;0;7,9;16;0,52;0;0,56;0;7,7;0;0,28;0;0,32;0;14,3;0
Day 17, 21:00;194;0;222;0;14,4;28;0,52;0;0,54;0;3,8;0;0,29;0;0,31;0;6,9;0
Day 17, 22:00;169;0;184;0;8,9;15;0,50;0;0,56;0;12,0;0;0,34;0;0,35;0;2,9;0
Day 17, 23:00;134;0;156;0;16,4;22;0,47;0;0,55;0;17,0;0;0,26;0;0,29;0;11,5;0
Day 18, 00:00;120;0;122;0;1,7;2;0,44;0;0,50;0;13,6;0;0,20;0;0,15;0;-25,0;0
Day 18, 01:00;103;0;100;0;-2,9;-3;0,42;0;0,49;0;16,7;0;0,12;0;0,07;0;-41,7;0
Day 18, 02:00;92;0;91;0;-1,1;-1;0,40;0;0,51;0;27,5;0;0,05;0;0,07;0;40,0;0
Day 18, 03:00;87;0;85;0;-2,3;-2;0,41;0;0,49;0;19,5;0;0,02;0;0,05;0;150,0;0
Day 18, 04:00;82;0;87;0;6,1;5;0,39;0;0,51;0;30,8;0;0,02;0;0,01;0;-50,0;0
Day 18, 05:00;79;0;85;0;7,6;6;0,41;0;0,50;0;22,0;0;0,02;0;0,00;0;0;0
Day 18, 06:00;84;0;90;0;7,1;6;0,42;0;0,53;0;26,2;0;0,05;0;0,04;0;-20,0;0
Day 18, 07:00;103;0;107;0;3,9;4;0,51;0;0,60;0;17,6;0;0,24;0;0,24;0;0,0;0
Day 18, 08:00;112;0;121;0;8,0;9;0,53;0;0,63;0;18,9;0;0,32;0;0,38;0;18,7;0
Day 18, 09:00;122;0;125;0;2,5;3;0,56;0;0,64;0;14,3;0;0,44;0;0,35;0;-20,5;0
Day 18, 10:00;101;0;108;0;6,9;7;0,48;0;0,58;0;20,8;0;0,30;0;0,31;0;3,3;0
Day 18, 11:00;109;0;137;0;25,7;28;0,47;0;0,61;0;29,8;0;0,21;0;0,38;0;81,0;0
Day 18, 12:00;122;0;141;0;15,6;19;0,47;0;0,56;0;19,1;0;0,25;0;0,31;0;24,0;0
Day 18, 13:00;115;0;120;0;4,3;5;0,48;0;0,50;0;4,2;0;0,23;0;0,18;0;-21,7;0
Day 18, 14:00;120;0;115;0;-4,2;-5;0,46;0;0,53;0;15,2;0;0,12;0;0,17;0;41,7;0
Day 18, 15:00;123;0;115;0;-6,5;-8;0,47;0;0,53;0;12,8;0;0,12;0;0,25;0;108,3;0
Day 18, 16:00;161;0;142;0;-11,8;-19;0,45;0;0,61;0;35,6;0;0,16;0;0,20;0;25,0;0
Day 18, 17:00;183;0;161;0;-12,0;-22;0,45;0;0,60;0;33,3;0;0,15;0;0,19;0;26,7;0
Day 18, 18:00;225;0;178;0;-20,9;-47;0,45;0;0,62;0;37,8;0;0,21;0;0,20;0;-4,8;0
Day 18, 19:00;215;0;185;0;-14,0;-30;0,45;0;0,59;0;31,1;0;0,23;0;0,18;0;-21,7;0
Day 18, 20:00;213;0;184;0;-13,6;-29;0,48;0;0,57;0;18,7;0;0,25;0;0,16;0;-36,0;0
Day 18, 21:00;207;0;164;0;-20,8;-43;0,48;0;0,57;0;18,7;0;0,37;0;0,19;0;-48,6;0
Day 18, 22:00;156;0;143;0;-8,3;-13;0,48;0;0,57;0;18,7;0;0,27;0;0,29;0;7,4;0
